SUBDIVISIONS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,FLOOD
Darjiling,2022,0,0,0,0,0,0,0,0,0,233.769128,0,0,233.769128,NO
Darrang,2022,19.89196543,57.72131746,51.3011825,284.3137441,374.3546425,532.3282123,235.9593026,207.7728678,120.4668565,115.2957598,11.3047847,13.23893877,2023.949574,NO
Datia,2022,42.97866634,3.70344,3.222691,4,15.5054895,40.73398677,199.0888769,239.7485117,231.4445287,77.034254,11.00358003,12.0192496,880.4832745,NO
Dausa,2022,41.5204,5.39875319,4.2286,4,12.19423,97.40869455,273.92134,228.4438879,97.70362721,159.3294387,13.97415,12,950.1231215,NO
Davangere,2022,1.0021814,2,9.12934476,79.56225305,206.770237,98.69481867,184.356545,216.3676944,114.9905434,186.1382428,17.3416303,32.20134774,1148.554838,NO
Dehradun,2022,150.073264,55.961189,3.233534192,7.2251775,94.6582654,86.9517957,424.650607,381.5966123,243.3984979,63.403647,12.711308,12.1578551,1536.021753,NO
Deogarh,2022,34.84873732,13.92805172,4.24083,6.6980751,90.1670447,121.641141,441.8056178,462.6973545,129.4384587,97.18099,11.04430956,13.03265782,1426.723268,NO
Deoghar,2022,26.17959795,64.30061214,3,4.2353446,137.7305403,75.84030284,82.2218343,157.9949519,230.7556959,114.536705,11.00003639,12.06207573,919.857697,NO
Deoria,2022,14.38806246,15.58647135,3,4.02573267,37.63079112,107.4465435,81.0947501,299.0635902,418.2145621,92.78946,11.0200486,12.01705589,1096.277068,NO
Devbhumi Dwarka,2022,23.19695,2,3,4,5,46.27672989,568.833983,254.4811329,240.7868002,14.02008344,11.00714507,12.02219604,1184.62502,NO
Dewas,2022,14.4689656,2,3.14307883,4,5.01480176,113.7072631,668.6991235,550.8088537,184.6076071,107.3799371,13.02701758,12.63774202,1679.49439,NO
Dhalai,2022,18.2219554,20.40623331,31.376803,70.85918605,374.668383,360.4264711,288.3360506,229.6418085,275.0117613,131.036128,11.49567871,15.60278179,1827.083241,NO
Dhamtari,2022,53.7029514,2.13537709,3.00564037,9.80603231,30.39778236,140.8970369,465.875905,524.087664,147.8055718,61.909277,11.01516847,13.39664105,1464.035048,NO
Dhanbad,2022,12.2275,65.11407807,3,4.360661,137.6565358,124.5914325,104.1427428,255.5498592,204.4942956,99.37944,11.00217305,12.33327988,1033.851998,NO
Dhar,2022,14.024192,2,4.602534,4,5.273686,66.720263,307.244177,354.1192753,185.0711653,81.51878544,11,12.10984534,1047.683923,NO
Dharmapuri,2022,10.02597561,2.0203631,13.8620357,40.9409646,144.016418,95.83279044,130.5909061,233.1137452,103.5595097,74.444785,66.02921405,93.74401252,1008.18072,NO
Dharwad,2022,1,2,22.69575267,111.3614305,164.524438,96.07457967,169.8874068,196.297846,190.1940101,144.1373608,11.08104036,17.84964412,1127.103509,NO
Dhaulpur,2022,0,0,0,0,0,0,0,0,0,126.0890828,0,0,126.0890828,NO
Dhemaji,2022,34.8611705,75.445096,64.1601857,405.8199622,325.7883964,512.310304,321.0560774,408.463401,298.385532,161.469415,11.47265585,20.7420558,2639.974252,NO
Dhenkanal,2022,52.63954128,21.2439937,3.432469,6.88669787,133.0654935,209.944289,426.360445,474.8126748,209.2926334,128.113875,11.36156019,12.22410649,1689.377779,NO
Dholpur,2022,33.6699093,2.053021,3,4,12.65342277,62.5687901,294.6332418,186.1012848,168.4329006,0,11.08180647,12,790.1943769,NO
Dhubri,2022,10.36474817,61.538265,38.75638026,400.6051572,585.1806091,1195.942092,190.4244561,356.9995273,269.3639034,270.587551,11.06073295,12.0135794,3402.837002,YES
Dhule,2022,5.027515931,2,10.583251,4,5,122.0142088,276.399065,201.1073126,214.3404957,81.90286327,11.00060925,12.77315112,946.1484727,NO
Dibang Valley,2022,76.27165199,125.4429219,124.8093952,646.669499,285.0307514,473.0914,525.3318387,113.048616,190.0049575,453.1336237,13.33220798,19.48189498,3045.648758,YES
Dibrugarh,2022,32.15647678,61.33752578,53.89538455,452.0118506,358.7167443,533.54384,446.2767468,396.5170047,224.7236244,120.5114784,11.17825698,29.66563265,2720.534566,NO
Dima Hasao,2022,23.1142406,43.3619736,52.3661885,244.7256044,339.1122913,307.367561,182.5516797,183.9331566,113.1317416,72.6939199,11.40314606,15.62386994,1589.385373,NO
Dimapur,2022,30.646871,60.44581108,7.550267,137.1442458,193.990572,221.214725,253.1804976,243.5809036,134.6457932,75.076639,11.1291224,19.59539945,1388.200847,NO
Dinajpur Dakshin,2022,7.0364334,16.6008315,5.6033724,22.447922,47.5456856,90.0825978,119.9858517,265.3905271,165.8156587,0,11,12.05944671,763.5683269,NO
Dinajpur Uttar,2022,5.27406464,28.36785102,10.4574194,72.1507398,183.796251,612.710667,240.7377632,262.5357414,277.1797983,0,11.00100763,12.01531485,1716.226618,NO
Dindigul,2022,56.09557845,3.22889469,13.35242589,87.03272587,86.20174437,92.3530624,86.1043881,211.1656191,105.7930876,102.1995406,115.080243,114.7928963,1073.400206,NO
Dindori,2022,35.992371,33.767492,8.513607725,4.53134845,26.5896993,217.8634831,396.598092,304.0142983,212.9150262,103.050088,11,12.34338515,1367.178891,NO
Diu,2022,3.76474163,2,3,5.86318,5,71.538965,546.4920226,210.5422503,171.6759983,16.9584316,11,12.00158536,1059.837175,NO
Doda,2022,256.053879,90.87317187,9.71061199,17.83751847,81.23987318,96.20633091,238.852963,168.9843068,69.5826577,27.9095403,56.14913967,18.6305825,1132.030575,NO
Dohad,2022,1.41672479,2,3.0108892,4,5.0970914,45.63079044,247.207809,264.0571848,92.64517542,0,11,12.00028138,688.0659464,NO
Dumka,2022,17.11336673,58.15201343,3,8.366012,127.2008654,95.003816,93.4931838,193.4313679,290.8213213,130.8020927,11.00091601,12.28556846,1040.670524,NO
Dungarpur,2022,3.0705594,2,3.1379438,4,5.367501,45.38144325,329.978,382.4318543,107.2648908,45.3181876,11,12.0105565,950.9609366,NO
Durg,2022,31.98364825,7.50419,3,13.69466,35.9050625,116.822365,356.1497485,542.468732,127.5363078,60.437126,11.00201681,12.89642587,1319.400283,NO
East,2022,21.23784542,59.0175756,72.9924464,373.1480384,420.8236696,1002.95873,615.92985,83.370435,223.2155649,328.191363,11.0065084,12.00008193,3223.892109,YES
East District,2022,21.23784542,59.0175756,72.9924464,373.1480384,420.8236696,1002.95873,615.92985,305.7394551,292.251788,0,13.67033794,12.26496814,3190.034705,YES
East Garo Hills,2022,20.09988293,62.186375,141.1968875,639.4107,1140.810223,2156.61896,323.1985979,325.607711,320.3510063,266.4276496,11.46386345,13.2272658,5420.599123,YES
East Godavari,2022,20.6144166,2.1318039,10.221441,18.64447503,121.0551972,155.5755348,265.652748,238.6145408,241.4264242,155.72153,15.97402052,36.22764407,1281.859776,NO
East Jaintia Hills,2022,26.5606933,57.3737439,141.1639058,463.164669,744.474687,734.30432,252.0266572,188.5509709,193.5579053,67.4617727,11.56995477,12.39093214,2892.600212,NO
East Kameng,2022,21.5166424,56.372977,65.74456318,302.3509789,380.8170171,729.7655948,249.1423516,194.3723655,104.8027,307.7630312,25.92378605,23.41318754,2461.985195,NO
East Khasi Hills,2022,31.1196647,44.07086107,129.9675164,814.9454796,1326.838003,2175.607,384.4330603,387.578572,467.3734375,163.7483035,12.97886675,17.52034618,5956.181111,YES
East Nimar,2022,11.65894036,2.0185578,4.5239289,4,5.414732,113.4694439,523.118289,434.1636978,231.4172185,97.1562677,19.427808,15.76507296,1462.133957,NO
East Siang,2022,64.4109293,93.16530553,71.40285768,636.6657086,504.0142561,991.734827,456.9961733,382.6348273,330.8592752,411.3685418,11.617369,29.02806034,3983.898131,YES
East Singhbhum,2022,0,0,0,0,0,0,0,0,0,129.131794,0,0,129.131794,NO
East Singhbum,2022,28.9417534,56.28900949,4.125171,10.70597056,122.4490135,171.318643,221.2341223,364.6925493,193.701179,0,11.00187198,12.12161905,1196.580903,NO
Ernakulam,2022,5.197029708,13.35695965,62.8939678,248.5640564,569.4719256,336.545989,767.605098,596.6766314,201.1507783,72.546356,132.465051,140.1212679,3146.595111,YES
Erode,2022,11.25445216,2.01142413,8.56507314,73.35156916,147.9424647,88.348202,110.713668,275.1431641,100.2106735,115.24418,62.02941896,68.37563826,1063.189928,NO
Etah,2022,51.826466,23.8689437,3,4,29.11974575,12.09816911,162.9671098,183.8685422,316.5021573,191.218003,12.315784,12,1002.784921,NO
Etawah,2022,21.541091,2.970951,3,4,7.63365334,10.4109538,141.8711301,223.1669778,217.3034661,122.463128,12.785072,12,779.1464232,NO
Faridabad,2022,54.441791,17.95011,3.255049,4,47.3402021,26.621442,114.648841,113.9963037,232.6759344,130.642936,11.02713714,12.00118087,768.6009272,NO
Faridkot,2022,101.06156,23.205443,3.278881,4.785762,12.86809969,56.721064,188.4314631,94.92334853,41.45951166,10.0002884,11.0159372,12.47114458,560.2225032,NO
Farrukhabad,2022,32.723263,12.1300604,3,4,19.81617601,27.69291197,53.87504401,139.1429361,131.8531548,91.7594788,11.00437138,12.00257916,538.9999756,NO
Fatehabad,2022,42.7312691,12.2811517,3.12156337,5.4742182,35.85978808,56.001445,242.1218458,118.1286314,127.197548,25.54501474,11.27333921,12.390081,692.1258956,NO
Fatehgarh Sahib,2022,139.4729379,26.3714481,3.0811696,4.4105599,42.11511435,61.47425202,355.56177,65.93388075,195.1452126,31.56583767,11.19539092,12.14609084,948.4736646,NO
Fatehpur,2022,51.33696088,9.56,3,4,13.92560975,22.67530981,125.419374,210.4543144,304.9145587,175.869935,11.00000094,12.01136793,944.1674314,NO
Fazilka,2022,50.23609381,6.8465894,3.3530952,4.26333789,8.3134821,27.7991561,151.9737798,60.89117461,20.02177429,10,11.2076803,13.3859846,368.2921481,NO
Firozabad,2022,34.0625,6.557382498,3,4,30.860183,10.58024,211.158071,196.7593259,227.3200281,152.612871,15.846831,12,904.7574325,NO
Firozepur,2022,111.5054967,27.742617,3.59939401,4.5804257,16.6374762,60.406124,201.9068517,80.53310727,46.79917252,0,11.15846421,13.01186888,577.8809982,NO
Firozpur,2022,0,0,0,0,0,0,0,0,0,14.29675976,0,0,14.29675976,NO
Gadag,2022,1,2,13.6304878,71.39529182,176.7690465,76.14547844,129.8002192,232.5176871,197.3498051,146.457451,11.19632885,22.70192008,1080.963716,NO
Gadchiroli,2022,72.5122846,2.10428345,3.471574,9.41048259,14.70735457,125.7431627,831.77274,533.5852499,297.1629236,58.4354623,11.0640271,14.84737512,1974.81692,NO
Gajapati,2022,45.09319945,10.44363752,5.47513,21.1346863,100.1313139,108.7488417,267.303635,477.193651,315.0096275,211.609154,14.69435662,26.94197399,1603.779207,NO
Ganderbal,2022,129.1885136,102.654683,40.5848466,44.3531383,81.38915538,117.7746703,117.9815022,93.79603842,23.48863118,13.4064018,111.9284217,26.00485894,902.5508614,NO
Gandhinagar,2022,2.530919,2,3,4,5,35.89125784,436.291798,292.982004,90.43578506,47.8158619,11,12.00188469,942.9495105,NO
Ganganagar,2022,48.045655,2.79849624,4.07355,4.24045616,19.97524231,49.4167631,220.6743024,127.0688234,20.92036607,10,13.9653531,12.901662,534.0806698,NO
Ganjam,2022,34.229447,5.95300513,3,12.77540636,93.26904256,89.60878052,367.7850161,431.2610468,257.5603712,205.764941,11.62024283,18.3708953,1531.198195,NO
Garhwa,2022,11.136919,24.565655,3.540811,4,31.70319914,67.99611151,98.9366162,243.2266747,152.5928385,71.462002,11,12.02511697,732.185944,NO
Gariyaband,2022,64.646311,2.269998,3,16.1878784,32.61891332,129.6144678,385.593504,472.2017265,134.8386906,49.389304,11.0819936,12.59826381,1314.041051,NO
Gaurela-Pendra-Marwahi,2022,0,0,0,0,0,0,0,0,0,79.347828,0,0,79.347828,NO
Gaurella Pendra Marwahi,2022,28.65497,28.27654,8.30109197,4.1106693,36.260224,225.3405808,295.809197,417.4297028,274.3920868,0,11,12.09705583,1341.672119,NO
Gautam Buddha Nagar,2022,46.32640341,22.42777,3.537594,4,19.39433404,24.6725773,78.6649849,84.21406163,124.2794695,0,11.03406835,12.00006823,430.5513313,NO
Gautambudhnagar,2022,0,0,0,0,0,0,0,0,0,114.764048,0,0,114.764048,NO
Gaya,2022,28.16564363,25.6005195,3,6.4684539,44.55463537,77.73123071,126.6338684,219.7209209,208.5444247,73.191145,11,12.10320252,836.7140446,NO
Gazipur,2022,0,0,0,0,0,0,0,0,0,38.6615908,0,0,38.6615908,NO
Ghaziabad,2022,65.64456249,20.878731,3,4,39.4519166,35.33729574,125.5753127,93.9248801,132.5836802,115.505311,11.00183107,12,658.9035209,NO
Ghazipur,2022,6.4004598,10.797282,3,4,17.9249869,119.5185474,105.7002516,162.2237408,238.8686494,0,11,12.06082549,691.4947434,NO
Gir Somnath,2022,3.077124,2,3,4.748377,5.528649,75.3106842,554.6515511,200.7536346,175.5852828,40.5636086,11,12.35609133,1088.575003,NO
Giridih,2022,21.3656663,58.727992,3,4.1584933,61.01517055,122.6921383,109.2524443,209.6001461,257.8241292,95.389461,11.00000051,12.02325834,966.0488999,NO
Goalpara,2022,17.27453277,59.613495,25.86306615,372.4600775,495.4727141,1140.856225,185.6185994,257.7688335,151.1437735,197.653442,11.2860398,12.09310343,2927.103902,NO
Godda,2022,8.639813,53.223307,3.0904891,16.4097443,154.9342707,73.30852006,85.77689007,185.7856563,191.96217,103.9301874,11.01376622,12.0130669,900.0878811,NO
Golaghat,2022,27.42922459,63.77608184,33.3883456,219.2034764,189.7339296,302.737425,247.6398864,250.847113,151.9981834,148.129525,11.19538338,13.68876979,1659.767344,NO
Gomati,2022,8.1313638,22.1556551,34.11368,163.1701581,403.1803891,379.725054,183.8991604,237.089191,266.0158841,162.885481,11.01898551,12.6777993,1884.062801,NO
Gonda,2022,33.5992238,29.04114936,3,4,28.58567391,49.42852766,131.9434861,220.7875595,274.8451449,279.3466756,11.00111398,12.107726,1077.686281,NO
Gondia,2022,22.46939727,2.290413088,3,8.09952,6.969097732,142.9906584,541.037129,673.7470534,283.8940411,68.9744128,11.00080755,12.62397656,1777.096507,NO
Gopalganj,2022,12.64374638,34.08263342,3,9.58771438,55.40037701,148.1267134,107.0983641,321.5292402,270.4370669,82.683718,11.001052,12.20608322,1067.796709,NO
Gorakhpur,2022,23.8821538,26.50187806,3,4,29.91136472,108.630385,103.3131229,354.484853,302.9279544,165.900288,11.00913114,12.1190477,1145.680179,NO
Gumla,2022,34.10664352,43.5364012,4.8315235,6.10621,56.0487006,81.7815045,185.797934,279.912157,207.8067949,62.51651492,11.00540788,12.16158669,985.6113787,NO
Guna,2022,39.223938,2,3.887758,4,19.93200677,152.5785254,424.250328,350.4791822,197.1903966,105.0751389,11.0224332,12.00348968,1321.643197,NO
Guntur,2022,29.1064925,2,3.21854426,4.003129053,67.22505496,76.77770708,244.0936575,147.3938308,167.3105215,159.0640879,29.98764249,43.89637701,974.077045,NO
Gurdaspur,2022,172.2645965,34.21642455,4.02275,4.0846807,25.0920007,68.6084201,271.0163452,129.5195842,103.4927798,14.18140435,14.54469944,12.354752,853.3984375,NO
Gurugram,2022,94.8278977,19.66661,3,4.1784204,57.5275176,41.2822565,205.2728184,103.750001,288.9575002,122.5506371,11.13607839,12.00114852,964.1508858,NO
Gwalior,2022,51.1006693,2.246187,3.729757,4,13.84604119,66.6572168,213.2912549,257.6871578,192.3163682,120.710324,11.00018419,12,948.5851604,NO
Hailakandi,2022,23.3606066,37.7004541,68.92390369,224.2611771,620.027809,819.030525,524.7602,246.4732837,285.19209,96.643739,11.94021636,18.6133584,2976.927363,NO
Hamirpur,2022,200.4621249,29.27536,8.549874264,9.330769084,55.72466047,102.4264,457.7812022,589.2568774,612.0970399,181.6805409,23.00514038,24.09069148,2293.680681,NO
Hanumangarh,2022,42.1805556,3.308319734,3.4278485,6.06143543,19.95651759,45.85618002,142.9968352,103.9457681,28.36364414,10.5093341,15.23339164,12.45112888,434.290959,NO
Haora,2022,0,0,0,0,0,0,0,0,0,107.762597,0,0,107.762597,NO
Hapur,2022,89.15846081,39.534307,3.03181,4,44.3722076,29.60627784,152.8899138,122.9160744,130.1203628,145.8581,11,12,784.4875142,NO
Harda,2022,13.8490738,2.35737,5.789169,4,5.0103997,119.7826076,749.889494,553.5368048,195.5177318,89.4974798,17.1961769,13.57979514,1770.006103,NO
Hardoi,2022,39.381474,19.54337317,3,4,37.67474641,80.8205681,109.4399257,171.9980086,151.8069013,158.986428,11,12.22056505,799.8719903,NO
Haridwar,2022,126.5782538,58.4525998,3.0000208,6.48300442,67.32194642,82.45295514,263.9382037,199.7602577,198.8150053,95.076446,11.00960846,12.00075339,1124.889055,NO
Hassan,2022,1.020648516,2,36.834511,114.7319333,311.734282,168.3504128,320.912494,380.8474775,126.0890012,98.81794275,21.43227708,33.2938527,1616.064833,NO
Hathras,2022,35.9686553,27.3304914,3,4,19.08819165,18.0406628,217.2296132,186.7721562,256.1494023,211.690539,12.57353352,12,1003.843245,NO
Haveri,2022,1,2,12.09628314,114.733976,254.2563866,71.8796849,191.760965,257.216099,132.5752953,157.545102,13.03574274,18.60096576,1226.7005,NO
Hazaribagh,2022,18.7449224,58.36761822,3,6.1569065,49.48255576,104.6312071,131.0739763,209.947539,263.4638471,133.8229227,11,12.49828237,1002.189777,NO
Hingoli,2022,1.7405979,2.0750201,3,4.0356281,6.1853216,97.8273731,437.919128,209.4887501,162.6487529,73.060947,11.00427786,12.72704264,1021.712839,NO
Hisar,2022,50.81788294,10.94311,3.03234536,5.246497,35.3618947,36.2882769,198.2222045,111.0372823,92.37248234,13.9705377,12.41773864,12.216093,581.9263454,NO
Hojai,2022,27.7827144,29.3854413,11.6315301,177.6550291,221.9459286,237.660592,179.22541,250.4957347,166.4493065,113.59854,11.40196247,13.60983696,1440.842026,NO
Hooghly,2022,29.11151636,34.95737668,3.000850691,5.17496072,220.5532608,148.6684236,158.662624,267.2385718,190.9408874,0,11.00000127,12.00013932,1081.308613,NO
Hoshangabad,2022,13.33145078,2.6101388,5.35297474,4.37479427,6.78709335,132.7049835,737.41353,634.8829977,243.9490433,87.1838108,11.02298056,12.30990642,1891.923704,NO
Hoshiarpur,2022,170.7421213,39.9515302,3.962932,4.10791813,27.16602318,66.87575714,244.2997781,143.1343791,109.6670205,32.3773785,12.19508491,12.29656868,866.7764918,NO
Howrah,2022,24.5375643,37.0318985,4.07511,4.383204,218.0149021,122.685373,196.508819,262.9676119,248.9790073,0,11,12.00405133,1142.187541,NO
Hugli,2022,0,0,0,0,0,0,0,0,0,82.354924,0,0,82.354924,NO
Hyderabad,2022,9.595135,2,3.419111797,24.86106611,54.21100743,132.1965056,375.7152092,124.1383149,158.0478978,90.26607827,11.55442228,25.98805538,1011.992804,NO
Idukki,2022,24.18948601,12.54245213,51.503396,222.9296945,258.9121619,164.1711681,543.759273,609.7941143,234.0770654,93.4383173,135.82917,95.01949644,2446.165795,NO
Imphal East,2022,23.840889,43.887135,16.534834,138.0217329,320.3318313,320.785145,168.8541102,221.8360253,105.1421373,65.284774,11.31200662,19.94430743,1455.774928,NO
Imphal West,2022,23.4037554,43.278524,16.7417762,140.2792568,332.9106338,326.142763,165.2635645,234.799298,82.4727447,62.1752724,11.17898294,16.13547486,1454.782047,NO
Indore,2022,21.630277,2,4.2374289,4,6.00193,56.58203295,383.122118,450.6036403,222.0732692,110.908815,11,12.14805843,1284.30757,NO
Jabalpur,2022,22.71896504,6.072341,3.9183349,4,19.95253644,162.6045998,380.734315,346.1563297,173.274994,96.02026009,11.00005374,13.06880386,1239.521534,NO
Jagatsinghapur,2022,25.73770369,16.4455413,3.265584,4.3245669,41.143056,62.18242293,397.2180017,314.0815109,300.2787421,0,11.00415238,12.03235531,1187.713637,NO
Jagatsinghpur,2022,0,0,0,0,0,0,0,0,0,176.7377747,0,0,176.7377747,NO
Jagitial,2022,45.7916977,2,6.326785,6.46325122,66.8687411,196.5641955,879.838646,347.1433277,309.91882,0,11.01059354,13.53104102,1885.457099,NO
Jagtial,2022,0,0,0,0,0,0,0,0,0,51.6280279,0,0,51.6280279,NO
Jahanabad,2022,0,0,0,0,0,0,0,0,0,90.5822457,0,0,90.5822457,NO
Jaipur,2022,49.560156,5.4800243,4.31890633,4.00693092,16.1333432,86.6756065,298.5211571,225.2312406,74.67657721,97.9040301,20.39826153,12.00375242,894.9099862,NO
Jaisalmer,2022,24.924629,2.00000231,3,4.156871,5.651945179,31.92439234,181.0564812,135.8619019,13.95520914,10,11.00003788,12.01014746,435.5416175,NO
Jajapur,2022,41.46626,29.55169116,3.107406,5.05131124,121.9309972,131.7536265,329.271763,431.5994046,213.730238,201.306069,11.01515264,12.13287165,1531.916791,NO
Jalandhar,2022,142.5102763,37.913468,4.72469,4.0937767,27.43189727,50.26662,264.0633239,85.45210174,86.6875556,37.75442,11.27340978,12.17763429,764.3491736,NO
Jalaun,2022,34.94776,2.831419,3,4,27.1221575,16.7469082,186.5060724,234.8197967,297.465143,178.4049459,11,12.00005296,1008.844256,NO
Jalgaon,2022,1.3931059,2,8.929415,4,5.0138622,94.54256611,300.0082867,174.275201,231.9105118,77.3410283,11,12.9993829,923.4133599,NO
Jalna,2022,1.182295795,2,3.17347477,4,5,109.703549,271.4773772,115.8253847,192.3974906,51.7447379,11,12.22707084,779.7313808,NO
Jalor,2022,0,0,0,0,0,0,0,0,0,11.4810294,0,0,11.4810294,NO
Jalore,2022,5.5900033,2,3,4,5.0708796,20.2273443,257.0535658,281.9039939,52.4416758,0,11,12.00001553,654.2874782,NO
Jalpaiguri,2022,8.711953237,48.995743,30.1163523,304.1397937,334.203071,1297.975106,535.6668804,539.7270874,553.2022638,225.88069,11.43800991,12.03924731,3902.096198,YES
Jammu,2022,277.7178871,74.33924697,6.34982939,6.52582029,79.39813643,142.4785441,497.4509697,340.7731552,129.753489,56.54821465,42.23450108,14.631347,1668.201141,NO
Jamnagar,2022,7.0681686,2,3,4,5,67.07591813,392.8515334,189.5678792,200.4820812,14.4315154,11,12.01640127,908.4934972,NO
Jamtara,2022,17.0869407,67.405833,3,8.5760168,133.1265676,92.80838209,94.23300604,228.0770045,237.2933523,160.9542393,11.00006062,12.66138558,1066.222789,NO
Jamui,2022,18.8587928,42.0492268,3,4.0636103,64.33515769,121.296409,120.2010481,160.0384761,208.6801807,89.384307,11.00001018,12.21281442,855.1200331,NO
Jangaon,2022,0,0,0,0,0,0,0,0,0,79.1446039,0,0,79.1446039,NO
Jangoan,2022,89.91031048,2,5.18162,9.720701,25.53650396,184.3290435,494.6736896,251.1281937,180.5708919,0,11.00933318,12.62667282,1266.68696,NO
Janjgir - Champa,2022,0,0,0,0,0,0,0,0,0,53.9417149,0,0,53.9417149,NO
Janjgir-Champa,2022,27.62688,9.0541253,3.604145,7.5584398,13.18551343,212.7824299,504.5522807,520.9627622,161.2707746,0,11,12.58327161,1484.180623,NO
Jashpur,2022,37.07705221,55.67677,4.12557236,9.8225821,73.50884294,92.9806616,236.6275934,339.1733436,161.3376838,69.21105989,11.00023055,12.07437523,1102.615768,NO
Jaunpur,2022,10.09835132,4.1949298,3,4,12.28903281,63.4299266,129.4578048,206.397569,242.3121235,89.16712113,11,12.14272943,787.4895884,NO
Jayashankar Bhupalapally,2022,57.414906,2,3,4.408910777,24.3524987,225.8429422,775.752388,348.2618483,326.775833,41.80588518,11.00139932,12.40421521,1833.020827,NO
Jehanabad,2022,23.8263056,24.032254,3,16.000001,102.2389192,166.9912907,123.4675183,253.1017323,199.7343787,0,11,12.00769019,935.40009,NO
Jhabua,2022,6.50711622,2,4.837419,4,5.21028,80.3349228,283.4062347,358.3132667,137.0929169,62.9812065,11,12.00274167,967.6861045,NO
Jhajjar,2022,88.30033479,16.305035,3,4.05774966,57.06403522,49.45916542,222.4941218,86.04001769,127.5556106,61.55708679,13.30302506,12.00003794,741.13622,NO
Jhalawar,2022,27.0439233,2,3.58933636,4,12.80268005,91.580802,478.28991,567.5462164,140.1264874,103.576622,11.00293501,12.00450662,1453.563419,NO
Jhansi,2022,66.6612885,2.0455706,3.167542,4,25.15983047,36.20078267,166.2834695,288.2284605,257.6352945,78.8480812,11.00084971,12.0350144,951.2661841,NO
Jhargram,2022,41.8582304,40.7854119,4.692212,12.1585601,106.8348342,146.4426052,299.8050954,361.3721309,218.7793119,154.418999,11.00004317,12.00987811,1410.157312,NO
Jharsuguda,2022,53.4699781,32.0569568,3.002735,6.746346052,59.10174969,102.5436102,315.443662,577.3719564,119.7765064,63.97529667,11.03366281,12.4917549,1357.014215,NO
Jhunjhunu,2022,55.805584,3.0157767,3.4032462,4.2377908,28.07955513,50.87437774,253.9746619,121.2329572,66.29108568,0,14.418717,12.00010519,613.3338575,NO
Jhunjhunun,2022,0,0,0,0,0,0,0,0,0,40.861109,0,0,40.861109,NO
Jind,2022,77.328439,24.91699,3,4.3353898,40.9652557,54.187456,288.5294751,111.3713517,93.98418524,16.7897958,11.10593508,12.0379135,738.5521869,NO
Jiribam,2022,24.0200324,42.011831,28.412211,168.4076779,462.6345069,539.166666,294.663852,212.1398293,116.5054015,62.018671,11.1683896,14.3252485,1975.474317,NO
Jodhpur,2022,17.1053112,2.0654771,4.2836713,4.1804865,5.6317684,31.76519692,257.4357671,109.4093366,19.12688016,11.9324702,11.00005102,12.00385871,485.9402752,NO
Jogulamba Gadwal,2022,23.95006099,2,5.911166,8.19526486,54.22112962,77.72600811,190.638854,175.2244462,127.1088258,100.883007,11.36681739,30.9843015,808.2098815,NO
Jorhat,2022,27.06462656,67.2131522,34.8755168,239.5229352,213.197566,315.316856,399.063699,229.7231789,215.8539663,114.215783,11.08174709,12.88008508,1880.009112,NO
Junagadh,2022,1.864898,2,3,4.111851,5.262892,105.7779264,568.2722992,286.378941,185.9321857,23.23296756,11,12.05505104,1208.889012,NO
Kabirdham,2022,24.854569,19.297262,5.4314625,5.5125481,11.36770302,191.484822,371.9974979,457.1008213,164.0788622,62.2118252,11,12.67833499,1337.015708,NO
Kachchh,2022,1.7097897,2,3,4.0364233,5,21.51677709,442.4755288,247.7213562,197.7765662,10.96576139,11.46182091,13.37595213,961.0399758,NO
Kaimur,2022,0,0,0,0,0,0,0,0,0,54.4403125,0,0,54.4403125,NO
Kaimur (Bhabua),2022,14.4214362,16.517481,3,4,19.39595681,76.04120653,105.0797005,247.282976,214.9825333,0,11,12.05145973,723.77275,NO
Kaithal,2022,102.9276556,38.3084472,3,4.01812849,66.8710667,54.3715415,297.9096362,91.72362464,91.66878561,20.4239135,11.04189818,12.01659735,794.281295,NO
Kakching,2022,22.636119,42.1533327,16.90236,146.0381414,354.4906066,335.3908166,156.1022087,301.037108,88.978834,58.2774149,12.5003506,13.9249286,1548.432221,NO
Kalaburagi,2022,2.241030551,2,4.9846833,23.93494235,70.710431,85.70680512,276.6011596,199.122329,154.6386523,84.5854772,11.2928088,12.83722515,928.6555443,NO
Kalahandi,2022,62.4535434,2.08295854,3,14.55889721,60.69778914,150.6227407,390.674385,573.0027705,161.6814138,72.712175,11.19391172,13.77084377,1516.451429,NO
Kalimpong,2022,17.80935022,38.33389548,43.02488848,291.8075866,464.942077,1189.90386,781.1548647,462.405243,529.522036,256.2286895,14.82927239,12.05203384,4102.013797,YES
Kallakkurichi,2022,0,0,0,0,0,0,0,0,0,57.9020474,0,0,57.9020474,NO
Kallakurichi,2022,34.8901278,3.634292,11.5712495,45.2238255,86.18122603,72.91095766,123.5831187,139.8027638,95.88106767,0,106.4503958,110.67792,830.8069444,NO
Kamareddy,2022,21.8621617,2.0256632,3.5930493,5.371006287,72.34917744,171.9392566,658.9856344,217.613621,263.4384983,67.3433336,11.05406004,12.109572,1507.685034,NO
Kamjong,2022,18.560197,36.654152,11.506506,113.9745908,202.186417,247.620171,135.839918,286.1371899,90.1477127,66.3112074,11.07266458,12.0887988,1232.099525,NO
